Pr Age0-19 Age20-44 Age45-64 Age65+ ObesityBMI<30 ObesityBMI30-40 ObesityBMI>40 SmokingYes ComorbidityYes
0 1 0 0 0 0 0 0 0 0
0.202 0 1 0 0 1 0 0 0 0
0.255132474314492 0 0 1 0 1 0 0 0 0
0.316694160153252 0 0 0 1 1 0 0 0 0
0.209468695762369 0 1 0 0 0 1 0 0 0
0.263915971422294 0 0 1 0 0 1 0 0 0
0.326667575611412 0 0 0 1 0 1 0 0 0
0.217138397026988 0 1 0 0 0 0 1 0 0
0.272891075134127 0 0 1 0 0 0 1 0 0
0.336800264326501 0 0 0 1 0 0 1 0 0
0.317624739612178 0 1 0 0 1 0 0 1 0
0.386442312979672 0 0 1 0 1 0 0 1 0
0.46011635166598 0 0 0 1 1 0 0 1 0
0.327613410231746 0 1 0 0 0 1 0 1 0
0.39733499864778 0 0 1 0 0 1 0 1 0
0.471489882267639 0 0 0 1 0 1 0 1 0
0.337760720371225 0 1 0 0 0 0 1 1 0
0.408330383030555 0 0 1 0 0 0 1 1 0
0.482893090256922 0 0 0 1 0 0 1 1 0
0.217710818634842 0 1 0 0 1 0 0 0 1
0.273559113922068 0 0 1 0 1 0 0 0 1
0.337552122982169 0 0 0 1 1 0 0 0 1
0.225596184023895 0 1 0 0 0 1 0 0 1
0.282736192133071 0 0 1 0 0 1 0 0 1
0.347848015287113 0 0 0 1 0 1 0 0 1
0.233681838794454 0 1 0 0 0 0 1 0 1
0.292097343630895 0 0 1 0 0 0 1 0 1
0.358288098278581 0 0 0 1 0 0 1 0 1
0.338513628715868 0 1 0 0 1 0 0 1 1
0.409143411673669 0 0 1 0 1 0 0 1 1
0.483733202384442 0 0 0 1 1 0 0 1 1
0.348823405617066 0 1 0 0 0 1 0 1 1
0.420237710330556 0 0 1 0 0 1 0 1 1
0.495155098328083 0 0 0 1 0 1 0 1 1
0.359276635614678 0 1 0 0 0 0 1 1 1
0.431413188905042 0 0 1 0 0 0 1 1 1
0.506582053502105 0 0 0 1 0 0 1 1 1
